question,time,type,datetime
3 × 86,4.19,multiplication,2025-01-15 23:19:14
74 - 33,2.65,subtraction,2025-01-15 23:19:14
97 + 73,3.79,addition,2025-01-15 23:19:14
52 - 17,3.4,subtraction,2025-01-15 23:21:16
46 - 39,4.57,subtraction,2025-01-15 23:21:16
12 + 10,1.13,addition,2025-01-15 23:21:16
6 × 51,1.69,multiplication,2025-01-15 23:21:16
10 × 97,1.5,multiplication,2025-01-15 23:21:16
98 - 83,1.28,subtraction,2025-01-15 23:21:16
19 - 2,0.91,subtraction,2025-01-15 23:21:16
73 + 60,2.52,addition,2025-01-15 23:21:16
2 × 55,1.23,multiplication,2025-01-15 23:21:16
413 ÷ 59,6.16,division,2025-01-15 23:21:16
30 - 23,1.82,subtraction,2025-01-15 23:21:16
75 - 45,1.21,subtraction,2025-01-15 23:21:16
12 × 70,2.5,multiplication,2025-01-15 23:21:16
774 ÷ 86,2.09,division,2025-01-15 23:22:54
405 ÷ 45,1.63,division,2025-01-15 23:22:54
484 ÷ 44,2.43,division,2025-01-15 23:22:54
4 × 62,2.63,multiplication,2025-01-15 23:22:54
12 × 95,6.73,multiplication,2025-01-15 23:22:54
23 - 7,6.41,subtraction,2025-01-15 23:22:54
51 - 32,2.3,subtraction,2025-01-15 23:22:54
32 + 40,1.62,addition,2025-01-15 23:22:54
75 - 63,1.29,subtraction,2025-01-15 23:22:54
10 + 56,1.69,addition,2025-01-15 23:22:54
35 + 35,1.1,addition,2025-01-15 23:23:30
45 - 20,1.94,subtraction,2025-01-15 23:23:30
32 + 100,1.66,addition,2025-01-15 23:23:30
8 × 9,1.7,multiplication,2025-01-15 23:23:30
90 ÷ 45,1.11,division,2025-01-15 23:23:30
85 + 82,4.21,addition,2025-01-15 23:23:30
56 - 42,1.85,subtraction,2025-01-15 23:23:30
5 × 58,2.66,multiplication,2025-01-15 23:23:30
2 × 96,2.79,multiplication,2025-01-15 23:23:30
13 + 27,1.5,addition,2025-01-15 23:23:30
10 + 81,1.29,addition,2025-01-15 23:23:30
27 + 70,2.9,addition,2025-01-15 23:23:30
98 + 68,3.3,addition,2025-01-15 23:23:30
5 × 2,0.71,multiplication,2025-01-18 16:37:51
9 × 6,1.14,multiplication,2025-01-18 16:37:51
89 + 18,1.6,addition,2025-01-18 16:37:51
61 + 59,2.03,addition,2025-01-18 16:37:51
8 × 87,9.11,multiplication,2025-01-18 16:37:51
638 ÷ 58,4.6,division,2025-01-18 16:37:51
7 × 49,4.73,multiplication,2025-01-18 16:37:51
90 + 61,1.4,addition,2025-01-18 16:37:51
88 - 74,1.84,subtraction,2025-01-18 16:37:51
34 ÷ 17,0.89,division,2025-01-18 16:37:51
93 - 36,2.87,subtraction,2025-01-18 16:38:24
286 ÷ 26,3.71,division,2025-01-18 16:38:24
8 × 75,6.13,multiplication,2025-01-18 16:38:24
65 - 14,1.41,subtraction,2025-01-18 16:38:24
27 - 15,1.34,subtraction,2025-01-18 16:38:24
42 + 27,3.17,addition,2025-01-18 16:38:24
57 + 27,2.15,addition,2025-01-18 16:38:24
100 - 57,1.22,subtraction,2025-01-18 16:38:24
6 + 52,1.28,addition,2025-01-18 16:38:24
8 × 16,6.35,multiplication,2025-01-18 16:38:24
48 - 32,1.6,subtraction,2025-01-18 16:38:57
42 + 53,2.2,addition,2025-01-18 16:38:57
37 + 89,4.19,addition,2025-01-18 16:38:57
6 × 58,5.65,multiplication,2025-01-18 16:38:57
89 - 40,5.41,subtraction,2025-01-18 16:38:57
12 × 6,1.82,multiplication,2025-01-18 16:38:57
78 - 52,2.08,subtraction,2025-01-19 13:58:21
294 ÷ 42,2.49,division,2025-01-19 13:58:21
70 - 56,3.03,subtraction,2025-01-19 13:58:21
864 ÷ 72,2.26,division,2025-01-19 13:58:21
264 ÷ 66,1.63,division,2025-01-19 13:58:21
89 - 34,3.36,subtraction,2025-01-19 13:58:21
57 + 67,2.77,addition,2025-01-19 13:58:21
78 - 73,1.07,subtraction,2025-01-19 13:58:21
3 + 71,1.6,addition,2025-01-19 13:58:21
98 - 64,1.91,subtraction,2025-01-19 13:58:21
3 × 98,6.63,multiplication,2025-01-19 13:58:21
85 + 56,2.52,addition,2025-01-19 13:58:54
88 + 8,1.47,addition,2025-01-19 13:58:54
3 × 94,4.64,multiplication,2025-01-19 13:58:54
57 - 54,1.28,subtraction,2025-01-19 13:58:54
54 + 35,2.07,addition,2025-01-19 13:58:54
84 - 10,1.25,subtraction,2025-01-19 13:58:54
79 + 12,1.6,addition,2025-01-19 13:58:54
63 - 52,1.64,subtraction,2025-01-19 13:58:54
54 - 18,2.67,subtraction,2025-01-19 13:58:54
91 - 71,1.66,subtraction,2025-01-19 13:58:54
96 + 32,2.62,addition,2025-01-19 13:58:54
108 ÷ 9,3.96,division,2025-01-19 13:58:54
297 ÷ 33,2.58,division,2025-01-19 13:58:54
62 + 24,3.34,addition,2025-01-19 14:16:30
504 ÷ 42,1.76,division,2025-01-19 14:16:30
12 × 99,10.33,multiplication,2025-01-19 14:16:30
970 ÷ 97,1.15,division,2025-01-19 14:16:30
4 × 47,6.52,multiplication,2025-01-19 14:16:30
86 - 42,2.89,subtraction,2025-01-19 14:16:30
22 + 96,3.91,addition,2025-01-19 14:16:30
5 × 92,5.1,multiplication,2025-01-19 20:26:10
75 + 62,2.38,addition,2025-01-19 20:26:10
9 × 86,5.53,multiplication,2025-01-19 20:26:10
54 - 47,1.79,subtraction,2025-01-19 20:26:10
37 + 97,5.49,addition,2025-01-19 20:26:10
33 + 44,1.2,addition,2025-01-19 20:26:10
3 × 70,1.26,multiplication,2025-01-19 20:26:10
516 ÷ 86,1.38,division,2025-01-19 20:26:10
253 ÷ 23,2.29,division,2025-01-19 20:26:10
3 × 15,1.54,multiplication,2025-01-19 20:26:10
340 ÷ 85,1.93,division,2025-01-19 20:26:10
38 + 91,3.32,addition,2025-01-21 23:42:22
92 - 2,1.19,subtraction,2025-01-21 23:42:22
3 × 87,14.94,multiplication,2025-01-21 23:42:22
81 + 68,2.75,addition,2025-01-21 23:42:22
3 × 84,5.17,multiplication,2025-01-21 23:42:22
3 - 2,0.81,subtraction,2025-01-21 23:42:22
91 - 31,1.66,subtraction,2025-01-21 23:42:55
56 - 3,1.36,subtraction,2025-01-21 23:42:55
3 + 76,1.46,addition,2025-01-21 23:42:55
93 - 29,3.07,subtraction,2025-01-21 23:42:55
5 × 42,2.96,multiplication,2025-01-21 23:42:55
168 ÷ 56,1.27,division,2025-01-21 23:42:55
759 ÷ 69,2.24,division,2025-01-21 23:42:55
47 + 14,1.48,addition,2025-01-21 23:42:55
7 + 16,1.19,addition,2025-01-21 23:42:55
82 + 60,2.37,addition,2025-01-21 23:42:55
15 + 19,2.86,addition,2025-01-21 23:42:55
78 + 63,2.16,addition,2025-01-21 23:42:55
28 - 16,1.35,subtraction,2025-01-21 23:42:55
440 ÷ 40,2.51,division,2025-01-21 23:42:55
52 - 20,1.58,subtraction,2025-01-21 23:42:55
84 + 4,2.65,addition,2025-01-24 21:20:35
4 × 58,4.85,multiplication,2025-01-24 21:20:35
48 ÷ 8,1.87,division,2025-01-24 21:20:35
3 × 32,2.56,multiplication,2025-01-24 21:20:35
84 - 6,1.76,subtraction,2025-01-24 21:20:35
11 × 98,4.46,multiplication,2025-01-24 21:20:35
4 × 41,1.98,multiplication,2025-01-24 21:20:35
87 - 64,1.96,subtraction,2025-01-24 21:20:35
430 ÷ 86,1.28,division,2025-01-24 21:20:35
55 ÷ 11,1.75,division,2025-01-24 21:20:35
8 - 6,0.74,subtraction,2025-01-24 21:20:35
81 - 68,1.67,subtraction,2025-01-24 21:20:35
24 + 69,2.37,addition,2025-01-24 21:20:35
46 + 73,2.35,addition,2025-01-24 21:21:13
69 - 10,1.35,subtraction,2025-01-24 21:21:13
75 + 93,3.34,addition,2025-01-24 21:21:13
82 + 30,1.61,addition,2025-01-24 21:21:13
650 ÷ 65,1.08,division,2025-01-24 21:21:13
100 ÷ 50,1.27,division,2025-01-24 21:21:13
5 × 92,4.72,multiplication,2025-01-24 21:21:13
320 ÷ 32,0.9,division,2025-01-24 21:21:13
4 × 82,2.91,multiplication,2025-01-24 21:21:13
57 + 25,2.59,addition,2025-01-24 21:21:13
49 + 41,1.64,addition,2025-01-24 21:21:13
96 - 50,1.35,subtraction,2025-01-24 21:21:13
260 ÷ 65,1.66,division,2025-01-24 21:21:13
24 - 14,1.0,subtraction,2025-01-24 21:21:13
84 ÷ 42,0.97,division,2025-01-24 21:21:13
441 ÷ 63,1.41,division,2025-01-24 21:50:23
352 ÷ 44,2.19,division,2025-01-24 21:50:23
7 × 43,3.22,multiplication,2025-01-24 21:50:23
30 - 16,1.24,subtraction,2025-01-24 21:50:23
78 - 5,1.56,subtraction,2025-01-24 21:50:23
5 × 54,2.76,multiplication,2025-01-24 21:50:23
12 × 25,6.65,multiplication,2025-01-24 21:50:23
6 × 14,3.37,multiplication,2025-01-24 21:50:23
240 ÷ 20,1.56,division,2025-01-24 21:50:23
7 + 51,1.99,addition,2025-01-24 21:50:23
25 + 29,3.2,addition,2025-01-24 21:50:23
82 - 30,1.42,subtraction,2025-01-26 10:43:30
99 - 12,2.2,subtraction,2025-01-26 10:43:30
23 - 11,1.47,subtraction,2025-01-26 10:43:30
83 - 12,1.24,subtraction,2025-01-26 10:43:30
79 - 42,3.07,subtraction,2025-01-26 10:43:30
46 - 15,2.02,subtraction,2025-01-26 10:43:30
355 ÷ 71,1.18,division,2025-01-26 10:43:30
8 × 85,4.14,multiplication,2025-01-26 10:43:30
97 + 74,5.23,addition,2025-01-26 10:43:30
54 - 3,1.17,subtraction,2025-01-26 10:43:30
665 ÷ 95,1.05,division,2025-01-26 10:43:30
61 + 33,1.42,addition,2025-01-26 10:43:30
100 - 93,1.59,subtraction,2025-01-26 10:44:12
267 ÷ 89,1.49,division,2025-01-26 10:44:12
22 + 67,1.34,addition,2025-01-26 10:44:12
12 × 32,5.74,multiplication,2025-01-26 10:44:12
83 - 22,1.35,subtraction,2025-01-26 10:44:12
3 × 74,5.89,multiplication,2025-01-26 10:44:12
12 × 40,1.94,multiplication,2025-01-26 10:44:12
9 × 6,1.69,multiplication,2025-01-26 10:44:12
64 ÷ 16,1.74,division,2025-01-26 10:47:28
7 × 60,1.53,multiplication,2025-01-26 10:47:28
11 × 66,9.48,multiplication,2025-01-26 10:47:28
8 × 52,1.75,multiplication,2025-01-26 10:47:28
324 ÷ 27,1.32,division,2025-01-26 10:47:28
602 ÷ 86,2.25,division,2025-01-26 10:47:28
86 - 10,1.13,subtraction,2025-01-26 10:47:28
8 - 4,0.72,subtraction,2025-01-26 10:47:28
9 + 95,1.56,addition,2025-01-26 10:47:28
98 - 17,3.39,subtraction,2025-01-26 10:47:28
7 + 93,1.23,addition,2025-01-26 10:47:28
280 ÷ 56,1.24,division,2025-01-26 10:47:28
168 ÷ 28,7.45,division,2025-01-26 10:48:53
46 ÷ 23,0.97,division,2025-01-26 10:48:53
30 + 49,2.72,addition,2025-01-26 10:48:53
65 + 15,2.52,addition,2025-01-26 10:48:53
70 + 20,1.1,addition,2025-01-26 10:48:53
23 - 8,1.26,subtraction,2025-01-26 10:48:53
4 × 14,2.35,multiplication,2025-01-26 10:48:53
150 ÷ 75,1.35,division,2025-01-26 10:48:53
100 ÷ 20,1.03,division,2025-01-26 10:48:53
11 × 3,2.5,multiplication,2025-01-26 10:48:53
24 - 11,2.27,subtraction,2025-01-26 10:48:53
315 ÷ 45,2.8,division,2025-01-26 10:48:53
11 × 14,5.65,multiplication,2025-01-26 10:49:34
63 - 54,1.91,subtraction,2025-01-26 10:49:34
12 × 33,4.85,multiplication,2025-01-26 10:49:34
53 + 56,1.71,addition,2025-01-26 10:49:34
10 × 18,0.99,multiplication,2025-01-26 10:49:34
2 + 70,1.09,addition,2025-01-26 10:49:34
25 + 43,3.34,addition,2025-01-26 10:49:34
70 - 45,2.1,subtraction,2025-01-26 10:49:34
46 + 8,2.28,addition,2025-01-26 10:49:34
6 ÷ 3,0.96,division,2025-01-26 10:49:34
9 × 6,1.12,multiplication,2025-01-26 10:49:34
89 - 56,2.94,subtraction,2025-01-26 10:49:34
27 + 59,2.68,addition,2025-01-26 10:50:07
276 ÷ 92,1.43,division,2025-01-26 10:50:07
52 + 51,1.29,addition,2025-01-26 10:50:07
83 - 60,2.26,subtraction,2025-01-26 10:50:07
12 × 58,5.53,multiplication,2025-01-26 10:50:07
64 - 48,2.76,subtraction,2025-01-26 10:50:07
5 × 42,2.69,multiplication,2025-01-26 10:50:07
94 + 77,2.56,addition,2025-01-26 10:50:07
5 × 69,6.96,multiplication,2025-01-26 10:50:07
87 + 100,1.2,addition,2025-01-26 10:50:07
26 + 42,2.84,addition,2025-01-26 13:48:57
1092 ÷ 91,2.06,division,2025-01-26 13:48:57
99 - 73,3.51,subtraction,2025-01-26 13:48:57
74 - 21,1.79,subtraction,2025-01-26 13:48:57
29 + 42,2.56,addition,2025-01-26 13:48:57
12 × 23,6.46,multiplication,2025-01-26 13:48:57
416 ÷ 52,1.2,division,2025-01-26 13:48:57
61 + 89,2.93,addition,2025-01-26 13:48:57
102 ÷ 34,1.24,division,2025-01-26 13:48:57
74 - 11,1.65,subtraction,2025-01-26 13:48:57
45 + 5,0.9,addition,2025-01-26 13:48:57
3 + 44,1.69,addition,2025-01-26 13:48:57
286 ÷ 26,2.13,division,2025-01-26 13:58:33
172 ÷ 43,2.08,division,2025-01-26 13:58:33
61 - 7,1.39,subtraction,2025-01-26 13:58:33
2 × 78,2.65,multiplication,2025-01-26 13:58:33
62 - 57,1.98,subtraction,2025-01-26 13:58:33
23 - 3,1.15,subtraction,2025-01-26 13:58:33
616 ÷ 56,2.64,division,2025-01-26 13:58:33
11 × 78,7.24,multiplication,2025-01-26 13:58:33
95 + 13,1.63,addition,2025-01-26 13:58:33
59 - 46,1.77,subtraction,2025-01-26 13:58:33
60 + 71,1.4,addition,2025-01-26 13:58:33
60 - 37,1.52,subtraction,2025-01-26 13:58:33
3 × 23,1.57,multiplication,2025-01-26 19:42:55
94 + 43,3.74,addition,2025-01-26 19:42:55
54 + 52,2.72,addition,2025-01-26 19:42:55
87 - 4,5.45,subtraction,2025-01-26 19:42:55
216 ÷ 36,1.65,division,2025-01-26 19:42:55
74 ÷ 37,0.87,division,2025-01-26 19:42:55
97 - 19,5.73,subtraction,2025-01-26 19:42:55
51 + 63,2.54,addition,2025-01-26 19:42:55
594 ÷ 54,2.66,division,2025-01-26 19:42:55
98 + 5,1.27,addition,2025-01-26 19:42:55
9 × 9,1.71,multiplication,2025-01-27 13:19:51
56 + 30,1.54,addition,2025-01-27 13:19:51
10 + 86,1.22,addition,2025-01-27 13:19:51
48 - 36,1.07,subtraction,2025-01-27 13:19:51
34 - 21,1.84,subtraction,2025-01-27 13:19:51
41 - 28,1.89,subtraction,2025-01-27 13:19:51
2 × 98,1.96,multiplication,2025-01-27 13:19:51
790 ÷ 79,1.07,division,2025-01-27 13:19:51
38 - 10,2.05,subtraction,2025-01-27 13:19:51
2 × 33,4.43,multiplication,2025-01-27 13:19:51
79 - 72,1.0,subtraction,2025-01-27 13:19:51
11 + 32,1.46,addition,2025-01-27 13:19:51
5 × 39,6.39,multiplication,2025-01-27 13:19:51
50 - 47,1.14,subtraction,2025-01-27 13:19:51
55 - 19,2.65,subtraction,2025-01-28 14:59:35
10 × 76,1.58,multiplication,2025-01-28 14:59:35
96 ÷ 16,2.19,division,2025-01-28 14:59:35
470 ÷ 94,1.7,division,2025-01-28 14:59:35
96 ÷ 48,0.89,division,2025-01-28 14:59:35
475 ÷ 95,3.67,division,2025-01-28 14:59:35
413 ÷ 59,3.01,division,2025-02-01 13:38:15
6 × 2,0.98,multiplication,2025-02-01 13:38:15
48 + 73,3.04,addition,2025-02-01 13:38:15
10 × 90,1.1,multiplication,2025-02-01 13:38:15
11 × 84,2.57,multiplication,2025-02-01 13:38:15
738 ÷ 82,6.23,division,2025-02-01 13:38:15
80 ÷ 8,0.96,division,2025-02-01 13:38:15
57 - 10,1.31,subtraction,2025-02-01 13:38:15
56 - 22,2.22,subtraction,2025-02-01 13:38:15
55 - 17,4.77,subtraction,2025-02-01 13:38:15
80 + 27,1.98,addition,2025-02-01 13:38:15
43 + 65,1.9,addition,2025-02-01 13:38:15
47 + 51,2.56,addition,2025-02-01 13:38:49
11 × 24,1.93,multiplication,2025-02-01 13:38:49
300 ÷ 60,1.09,division,2025-02-01 13:38:49
81 + 95,3.23,addition,2025-02-01 13:38:49
50 - 33,1.75,subtraction,2025-02-01 13:38:49
91 - 76,1.38,subtraction,2025-02-01 13:38:49
49 - 12,1.93,subtraction,2025-02-01 13:38:49
208 ÷ 52,1.5,division,2025-02-01 13:38:49
340 ÷ 85,2.32,division,2025-02-01 13:38:49
552 ÷ 46,1.4,division,2025-02-01 13:38:49
68 + 49,2.18,addition,2025-02-01 13:38:49
49 - 23,1.97,subtraction,2025-02-01 13:38:49
252 ÷ 42,3.43,division,2025-02-01 13:38:49
198 ÷ 18,2.23,division,2025-02-01 13:38:49
12 - 9,1.36,subtraction,2025-02-01 13:39:22
680 ÷ 68,0.76,division,2025-02-01 13:39:22
54 ÷ 9,1.9,division,2025-02-01 13:39:22
360 ÷ 90,1.51,division,2025-02-01 13:39:22
44 - 20,3.02,subtraction,2025-02-01 13:39:22
3 × 71,7.16,multiplication,2025-02-01 13:39:22
65 - 16,2.09,subtraction,2025-02-01 13:39:22
73 - 21,1.66,subtraction,2025-02-01 13:39:22
97 - 37,1.85,subtraction,2025-02-01 13:39:22
231 ÷ 21,1.84,division,2025-02-01 13:39:22
78 + 74,1.94,addition,2025-02-01 13:39:22
16 ÷ 2,0.96,division,2025-02-01 13:39:22
77 - 44,1.14,subtraction,2025-02-01 13:39:22
10 + 20,1.07,addition,2025-02-01 13:39:22
77 - 33,0.89,subtraction,2025-02-01 13:39:22
36 + 56,1.84,addition,2025-02-01 13:43:26
38 - 38,1.71,subtraction,2025-02-01 13:43:26
68 - 50,1.71,subtraction,2025-02-01 13:43:26
176 ÷ 16,2.35,division,2025-02-01 13:43:26
558 ÷ 62,2.71,division,2025-02-01 13:43:26
464 ÷ 58,1.31,division,2025-02-01 13:43:26
7 × 82,4.48,multiplication,2025-02-01 13:43:26
5 × 25,5.34,multiplication,2025-02-01 13:43:26
94 + 60,1.69,addition,2025-02-01 13:43:26
24 - 14,0.86,subtraction,2025-02-01 13:43:26
80 - 72,1.05,subtraction,2025-02-01 13:43:26
79 - 56,1.65,subtraction,2025-02-01 13:43:26
9 + 16,1.4,addition,2025-02-01 13:43:26
4 + 98,1.18,addition,2025-02-01 13:43:26
3 × 74,5.47,multiplication,2025-02-01 21:46:11
57 - 49,2.16,subtraction,2025-02-01 21:46:11
460 ÷ 46,0.92,division,2025-02-01 21:46:11
6 × 51,3.83,multiplication,2025-02-01 21:46:11
39 - 20,1.15,subtraction,2025-02-01 21:46:11
44 + 19,3.34,addition,2025-02-01 21:47:18
27 + 73,4.73,addition,2025-02-01 21:47:18
62 - 44,2.92,subtraction,2025-02-01 21:47:18
94 - 84,1.29,subtraction,2025-02-01 21:47:18
12 × 59,5.75,multiplication,2025-02-01 21:47:18
31 + 92,4.84,addition,2025-02-01 21:47:18
6 × 45,5.17,multiplication,2025-02-01 21:47:18
52 - 51,0.92,subtraction,2025-02-02 22:11:12
11 × 40,1.27,multiplication,2025-02-02 22:11:12
510 ÷ 85,1.14,division,2025-02-02 22:11:12
210 ÷ 21,0.83,division,2025-02-02 22:11:12
7 × 17,7.41,multiplication,2025-02-02 22:11:12
10 × 97,1.56,multiplication,2025-02-02 22:11:12
112 ÷ 14,1.97,division,2025-02-02 22:11:12
2 × 96,1.65,multiplication,2025-02-02 22:11:12
407 ÷ 37,2.27,division,2025-02-02 22:11:12
75 + 63,10.02,addition,2025-02-02 22:11:12
25 + 82,2.28,addition,2025-02-02 22:11:47
62 - 48,1.37,subtraction,2025-02-02 22:11:47
60 - 39,5.31,subtraction,2025-02-02 22:11:47
3 × 41,1.91,multiplication,2025-02-02 22:11:47
61 + 4,1.46,addition,2025-02-02 22:11:47
344 ÷ 43,2.24,division,2025-02-02 22:11:47
33 + 19,3.43,addition,2025-02-02 22:11:47
80 - 33,3.03,subtraction,2025-02-02 22:11:47
2 × 30,1.01,multiplication,2025-02-02 22:11:47
31 + 37,1.66,addition,2025-02-02 22:11:47
4 + 81,1.32,addition,2025-02-02 22:11:47
8 - 4,0.95,subtraction,2025-02-02 22:11:47
32 + 62,2.46,addition,2025-02-02 22:11:47
90 - 77,1.4,subtraction,2025-02-02 22:11:47
9 × 62,3.88,multiplication,2025-02-02 22:12:21
474 ÷ 79,2.09,division,2025-02-02 22:12:21
28 - 16,1.25,subtraction,2025-02-02 22:12:21
2 × 23,1.87,multiplication,2025-02-02 22:12:21
81 + 29,2.72,addition,2025-02-02 22:12:21
77 - 77,1.01,subtraction,2025-02-02 22:12:21
7 + 67,2.09,addition,2025-02-02 22:12:21
320 ÷ 40,6.36,division,2025-02-02 22:12:21
2 × 66,1.42,multiplication,2025-02-02 22:12:21
174 ÷ 29,3.36,division,2025-02-02 22:12:53
10 × 83,2.49,multiplication,2025-02-02 22:12:53
74 + 78,1.94,addition,2025-02-02 22:12:53
98 - 3,1.52,subtraction,2025-02-02 22:12:53
7 × 6,1.32,multiplication,2025-02-02 22:12:53
79 - 62,2.09,subtraction,2025-02-02 22:12:53
29 + 79,1.92,addition,2025-02-02 22:12:53
11 × 55,12.33,multiplication,2025-02-02 22:12:53
56 - 14,1.85,subtraction,2025-02-02 22:12:53
84 - 25,3.75,subtraction,2025-02-02 22:13:27
84 - 55,2.71,subtraction,2025-02-02 22:13:27
4 × 9,1.55,multiplication,2025-02-02 22:13:27
82 - 2,1.05,subtraction,2025-02-02 22:13:27
44 - 26,2.19,subtraction,2025-02-02 22:13:27
77 + 58,4.35,addition,2025-02-02 22:13:27
1012 ÷ 92,2.39,division,2025-02-02 22:13:27
210 ÷ 42,1.46,division,2025-02-02 22:13:27
49 - 23,3.76,subtraction,2025-02-02 22:13:27
2 × 65,1.74,multiplication,2025-02-02 22:13:27
44 + 87,4.51,addition,2025-02-02 22:13:27
7 × 89,5.07,multiplication,2025-02-02 22:14:00
93 + 49,2.11,addition,2025-02-02 22:14:00
195 ÷ 65,1.28,division,2025-02-02 22:14:00
79 - 68,2.17,subtraction,2025-02-02 22:14:00
700 ÷ 70,0.85,division,2025-02-02 22:14:00
3 + 66,1.36,addition,2025-02-02 22:14:00
91 + 58,2.28,addition,2025-02-02 22:14:00
11 × 62,3.14,multiplication,2025-02-02 22:14:00
480 ÷ 40,1.12,division,2025-02-02 22:14:00
76 - 27,2.71,subtraction,2025-02-02 22:14:00
200 ÷ 40,1.14,division,2025-02-02 22:14:00
25 + 45,1.89,addition,2025-02-02 22:14:00
4 × 30,1.23,multiplication,2025-02-02 22:14:00
564 ÷ 94,1.37,division,2025-02-02 22:14:00
83 - 67,1.79,subtraction,2025-02-02 22:14:00
56 ÷ 28,1.02,division,2025-02-25 12:11:41
77 - 11,1.06,subtraction,2025-02-25 12:11:41
65 - 24,1.46,subtraction,2025-02-25 12:11:41
40 - 30,0.89,subtraction,2025-02-25 12:11:41
18 - 5,1.53,subtraction,2025-02-25 12:11:41
10 × 71,1.15,multiplication,2025-02-25 12:11:41
387 ÷ 43,3.15,division,2025-02-25 12:11:41
7 × 20,2.25,multiplication,2025-02-25 12:11:41
153 ÷ 51,0.98,division,2025-02-25 12:11:41
10 × 61,1.59,multiplication,2025-02-25 12:11:41
63 - 59,1.43,subtraction,2025-02-25 12:11:41
55 + 21,2.51,addition,2025-02-25 12:11:41
902 ÷ 82,2.34,division,2025-02-25 12:11:41
88 - 40,1.2,subtraction,2025-02-25 12:11:41
506 ÷ 46,1.95,division,2025-02-25 12:11:41
9 × 90,1.86,multiplication,2025-02-25 12:11:41
45 - 23,2.51,subtraction,2025-02-25 12:11:41
9 × 24,5.25,multiplication,2025-02-25 12:38:28
92 - 22,1.57,subtraction,2025-02-25 12:38:28
6 × 41,2.32,multiplication,2025-02-25 12:38:28
828 ÷ 92,1.62,division,2025-02-25 12:38:28
30 ÷ 6,0.82,division,2025-02-25 12:38:28
180 ÷ 30,2.66,division,2025-02-25 12:38:28
34 - 13,1.67,subtraction,2025-02-25 12:38:28
97 - 60,1.65,subtraction,2025-02-25 12:38:28
10 × 12,0.92,multiplication,2025-02-25 12:38:28
252 ÷ 42,2.52,division,2025-02-25 12:38:28
88 + 59,3.5,addition,2025-02-25 12:38:28
3 × 98,3.42,multiplication,2025-02-25 12:38:28
488 ÷ 61,3.27,division,2025-02-25 12:39:12
77 ÷ 7,1.28,division,2025-02-25 12:39:12
51 + 2,1.42,addition,2025-02-25 12:39:12
98 ÷ 14,3.91,division,2025-02-25 12:39:12
80 ÷ 8,0.92,division,2025-02-25 12:39:12
6 + 92,1.25,addition,2025-02-25 12:39:12
8 × 11,0.98,multiplication,2025-02-25 12:39:12
567 ÷ 63,2.71,division,2025-02-25 12:39:12
63 + 53,4.47,addition,2025-02-25 12:39:12
11 × 88,3.38,multiplication,2025-02-25 12:39:12
