question,time,type,datetime
4 × 75,1.86,multiplication,2025-02-25 12:46:17
57 + 42,3.41,addition,2025-02-25 12:46:17
770 ÷ 77,0.86,division,2025-02-25 12:46:17
86 - 46,2.18,subtraction,2025-02-25 12:46:17
80 + 63,2.54,addition,2025-02-25 12:46:17
5 × 79,5.68,multiplication,2025-02-25 12:46:17
12 × 5,1.04,multiplication,2025-02-25 12:46:17
7 × 7,1.5,multiplication,2025-02-25 12:46:17
28 + 91,3.15,addition,2025-02-25 12:46:17
56 + 91,2.94,addition,2025-02-25 12:46:17
10 × 44,1.11,multiplication,2025-02-25 12:46:17
10 × 76,1.99,multiplication,2025-02-25 12:46:17
94 - 8,2.1,subtraction,2025-02-25 12:46:49
10 × 89,1.23,multiplication,2025-02-25 12:46:49
85 ÷ 17,1.77,division,2025-02-25 12:46:49
12 × 79,5.08,multiplication,2025-02-25 12:46:49
96 + 34,4.47,addition,2025-02-25 12:46:49
220 ÷ 20,2.89,division,2025-02-25 12:46:49
6 × 34,3.35,multiplication,2025-02-25 12:46:49
81 ÷ 27,1.68,division,2025-02-25 12:46:49
7 × 78,3.74,multiplication,2025-02-25 12:46:49
50 ÷ 25,1.01,division,2025-02-25 12:46:49
24 - 11,0.95,subtraction,2025-02-25 17:48:38
35 + 37,1.34,addition,2025-02-25 17:48:38
7 × 67,4.09,multiplication,2025-02-25 17:48:38
32 - 13,1.43,subtraction,2025-02-25 17:48:38
60 - 27,3.74,subtraction,2025-02-25 17:48:38
51 + 8,3.41,addition,2025-02-25 17:48:38
200 ÷ 25,1.57,division,2025-02-25 17:48:38
2 × 34,1.37,multiplication,2025-02-25 17:48:38
6 × 7,1.19,multiplication,2025-02-25 17:48:38
76 ÷ 19,1.17,division,2025-02-25 17:48:38
3 × 2,1.0,multiplication,2025-02-25 17:48:38
90 - 24,2.55,subtraction,2025-02-25 17:48:38
43 - 18,2.42,subtraction,2025-02-25 17:48:38
91 - 86,1.56,subtraction,2025-02-26 13:25:00
8 × 29,4.21,multiplication,2025-02-26 13:25:00
27 ÷ 9,1.18,division,2025-02-26 13:25:00
76 + 21,2.15,addition,2025-02-26 13:25:00
44 - 33,1.2,subtraction,2025-02-26 13:25:00
41 - 8,2.16,subtraction,2025-02-26 13:25:00
50 - 26,1.43,subtraction,2025-02-26 13:25:00
60 ÷ 20,1.03,division,2025-02-26 13:25:00
42 + 94,2.27,addition,2025-02-26 13:25:00
308 ÷ 28,4.81,division,2025-02-26 13:25:00
3 × 84,3.76,multiplication,2025-02-26 13:25:00
44 ÷ 4,1.29,division,2025-02-26 13:25:00
81 - 40,0.97,subtraction,2025-02-26 13:25:00
700 ÷ 70,0.79,division,2025-02-26 13:26:08
3 × 17,4.43,multiplication,2025-02-26 13:26:08
40 - 31,2.0,subtraction,2025-02-26 13:26:08
580 ÷ 58,1.22,division,2025-02-26 13:26:08
10 × 88,1.31,multiplication,2025-02-26 13:26:08
11 × 31,6.16,multiplication,2025-02-26 13:26:08
612 ÷ 51,7.33,division,2025-02-26 13:26:08
66 - 7,1.75,subtraction,2025-02-26 13:26:08
5 × 29,2.62,multiplication,2025-02-26 13:26:08
9 × 59,5.16,multiplication,2025-02-27 15:28:06
86 ÷ 43,1.19,division,2025-02-27 15:28:06
66 + 10,1.03,addition,2025-02-27 15:28:06
90 - 69,1.46,subtraction,2025-02-27 15:28:06
83 + 50,2.39,addition,2025-02-27 15:28:06
280 ÷ 28,0.8,division,2025-02-27 15:28:06
90 - 49,2.69,subtraction,2025-02-27 15:28:06
91 - 63,6.63,subtraction,2025-02-27 15:28:06
44 - 21,1.51,subtraction,2025-02-27 15:28:06
29 + 66,3.67,addition,2025-02-27 15:28:06
54 - 40,1.03,subtraction,2025-02-27 15:28:06
65 + 33,1.48,addition,2025-02-27 15:28:06
188 ÷ 47,2.37,division,2025-02-27 15:28:38
24 + 79,5.29,addition,2025-02-27 15:28:38
10 × 6,0.95,multiplication,2025-02-27 15:28:38
93 + 39,4.24,addition,2025-02-27 15:28:38
84 ÷ 28,1.18,division,2025-02-27 15:28:38
83 - 58,3.41,subtraction,2025-02-27 15:28:38
3 × 75,1.92,multiplication,2025-02-27 15:28:38
2 × 16,1.77,multiplication,2025-02-27 15:28:38
600 ÷ 50,1.57,division,2025-02-27 15:28:38
252 ÷ 36,2.08,division,2025-02-27 15:28:38
14 + 41,3.35,addition,2025-02-27 15:28:38
28 - 23,1.16,subtraction,2025-02-27 15:29:11
62 + 83,2.92,addition,2025-02-27 15:29:11
57 + 97,3.38,addition,2025-02-27 15:29:11
102 ÷ 34,1.28,division,2025-02-27 15:29:11
44 + 26,2.14,addition,2025-02-27 15:29:11
86 - 69,4.46,subtraction,2025-02-27 15:29:11
3 × 39,2.56,multiplication,2025-02-27 15:29:11
36 + 58,2.67,addition,2025-02-27 15:29:11
432 ÷ 36,1.39,division,2025-02-27 15:29:11
12 × 4,2.95,multiplication,2025-02-27 15:29:11
140 ÷ 35,5.07,division,2025-02-27 15:29:11
70 - 60,0.87,subtraction,2025-03-06 14:42:53
59 + 82,6.03,addition,2025-03-06 14:42:53
69 - 25,3.65,subtraction,2025-03-06 14:42:53
7 × 56,3.58,multiplication,2025-03-06 14:42:53
7 × 32,3.52,multiplication,2025-03-06 14:42:53
83 - 61,1.58,subtraction,2025-03-06 14:42:53
57 + 12,3.52,addition,2025-03-06 14:42:53
76 + 19,2.05,addition,2025-03-06 14:42:53
89 - 22,1.96,subtraction,2025-03-06 14:42:53
10 + 41,1.1,addition,2025-03-06 14:42:53
71 - 13,2.03,subtraction,2025-03-06 14:42:53
4 × 7,1.61,multiplication,2025-03-06 14:43:26
7 × 93,3.48,multiplication,2025-03-06 14:43:26
388 ÷ 97,1.15,division,2025-03-06 14:43:26
22 + 33,1.13,addition,2025-03-06 14:43:26
92 - 81,2.16,subtraction,2025-03-06 14:43:26
28 - 9,1.19,subtraction,2025-03-06 14:43:26
10 × 66,1.26,multiplication,2025-03-06 14:43:26
133 ÷ 19,2.95,division,2025-03-06 14:43:26
6 × 34,4.27,multiplication,2025-03-06 14:43:26
86 - 23,2.44,subtraction,2025-03-06 14:43:26
60 ÷ 6,0.81,division,2025-03-06 14:43:26
196 ÷ 28,1.25,division,2025-03-06 14:43:26
360 ÷ 36,0.9,division,2025-03-06 14:43:26
230 ÷ 46,3.46,division,2025-03-14 08:24:35
86 - 37,2.18,subtraction,2025-03-14 08:24:35
9 × 6,1.1,multiplication,2025-03-14 08:24:35
99 + 64,2.0,addition,2025-03-14 08:24:35
42 - 25,1.74,subtraction,2025-03-14 08:24:35
62 - 29,2.16,subtraction,2025-03-14 08:24:35
11 × 35,3.47,multiplication,2025-03-14 08:24:35
22 ÷ 11,1.89,division,2025-03-14 08:24:35
97 - 55,1.86,subtraction,2025-03-14 08:24:35
81 + 97,2.64,addition,2025-03-14 08:24:35
97 - 91,2.17,subtraction,2025-03-14 08:24:35
488 ÷ 61,1.61,division,2025-03-14 08:24:35
85 - 24,1.9,subtraction,2025-03-14 08:24:35
34 + 43,2.02,addition,2025-03-15 08:09:02
297 ÷ 27,2.56,division,2025-03-15 08:09:02
153 ÷ 51,1.01,division,2025-03-15 08:09:02
100 + 42,1.47,addition,2025-03-15 08:09:02
525 ÷ 75,9.46,division,2025-03-15 08:09:02
112 ÷ 56,1.4,division,2025-03-15 08:09:02
2 × 59,3.43,multiplication,2025-03-15 08:09:02
2 × 95,2.61,multiplication,2025-03-15 08:09:02
7 × 7,2.02,multiplication,2025-03-15 08:09:02
3 × 81,2.36,multiplication,2025-03-15 08:09:02
89 - 78,2.72,subtraction,2025-03-15 08:09:50
860 ÷ 86,1.11,division,2025-03-15 08:09:50
10 + 87,1.48,addition,2025-03-15 08:09:50
234 ÷ 78,1.24,division,2025-03-15 08:09:50
240 ÷ 20,3.53,division,2025-03-15 08:09:50
261 ÷ 87,1.85,division,2025-03-15 08:09:50
144 ÷ 16,4.45,division,2025-03-15 08:09:50
3 × 55,3.49,multiplication,2025-03-15 08:09:50
44 - 17,3.47,subtraction,2025-03-15 08:09:50
5 + 81,1.76,addition,2025-03-15 08:09:50
480 ÷ 40,2.17,division,2025-03-18 12:30:45
316 ÷ 79,2.19,division,2025-03-18 12:30:45
18 - 13,0.95,subtraction,2025-03-18 12:30:45
3 + 3,0.87,addition,2025-03-18 12:30:45
50 - 42,1.0,subtraction,2025-03-18 12:30:45
40 + 21,1.06,addition,2025-03-18 12:30:45
15 + 48,2.91,addition,2025-03-18 12:30:45
110 ÷ 22,1.31,division,2025-03-18 12:30:45
73 - 17,2.52,subtraction,2025-03-18 12:30:45
6 × 24,2.65,multiplication,2025-03-18 12:30:45
3 × 10,1.48,multiplication,2025-03-18 12:30:45
76 + 16,1.55,addition,2025-03-18 12:30:45
240 ÷ 60,1.06,division,2025-03-18 12:30:45
12 × 57,8.1,multiplication,2025-03-18 12:30:45
7 × 89,6.53,multiplication,2025-03-18 12:31:31
5 × 38,2.89,multiplication,2025-03-18 12:31:31
90 - 32,1.44,subtraction,2025-03-18 12:31:31
9 × 18,3.68,multiplication,2025-03-18 12:31:31
5 × 62,1.64,multiplication,2025-03-18 12:31:31
56 - 44,3.08,subtraction,2025-03-18 12:31:31
462 ÷ 77,1.0,division,2025-03-18 12:31:31
21 + 77,1.76,addition,2025-03-18 12:31:31
70 - 45,1.5,subtraction,2025-03-18 12:31:31
243 ÷ 27,2.34,division,2025-03-18 12:31:31
54 - 5,1.76,subtraction,2025-03-18 12:31:31
60 - 41,0.96,subtraction,2025-03-18 12:31:31
91 - 13,1.69,subtraction,2025-03-18 12:32:05
8 + 82,1.15,addition,2025-03-18 12:32:05
2 × 32,1.4,multiplication,2025-03-18 12:32:05
368 ÷ 92,1.23,division,2025-03-18 12:32:05
2 + 67,1.23,addition,2025-03-18 12:32:05
11 × 50,1.25,multiplication,2025-03-18 12:32:05
56 + 69,5.79,addition,2025-03-18 12:32:05
80 - 65,0.93,subtraction,2025-03-18 12:32:05
891 ÷ 81,1.88,division,2025-03-18 12:32:05
3 × 16,1.77,multiplication,2025-03-18 12:32:05
63 ÷ 7,1.17,division,2025-03-18 12:32:05
9 × 16,2.27,multiplication,2025-03-18 12:32:05
9 × 80,1.44,multiplication,2025-03-18 12:32:05
27 + 69,6.43,addition,2025-03-18 12:32:05
66 - 25,2.59,subtraction,2025-03-18 12:32:53
12 ÷ 3,0.99,division,2025-03-18 12:32:53
558 ÷ 62,2.28,division,2025-03-18 12:32:53
234 ÷ 78,1.59,division,2025-03-18 12:32:53
36 + 19,2.52,addition,2025-03-18 12:32:53
9 × 68,7.21,multiplication,2025-03-18 12:32:53
88 - 73,1.48,subtraction,2025-03-18 12:32:53
240 ÷ 30,1.92,division,2025-03-18 12:32:53
94 - 46,2.7,subtraction,2025-03-18 12:32:53
3 × 6,1.06,multiplication,2025-03-18 12:32:53
3 × 21,4.85,multiplication,2025-03-18 12:32:53
350 ÷ 50,1.87,division,2025-03-19 14:12:37
48 - 18,1.83,subtraction,2025-03-19 14:12:37
52 - 32,2.13,subtraction,2025-03-19 14:12:37
84 + 37,2.4,addition,2025-03-19 14:12:37
10 × 80,1.14,multiplication,2025-03-19 14:12:37
588 ÷ 98,1.62,division,2025-03-19 14:12:37
59 - 31,2.62,subtraction,2025-03-19 14:12:37
5 × 86,2.96,multiplication,2025-03-19 14:12:37
10 × 32,1.2,multiplication,2025-03-19 14:12:37
82 + 47,1.82,addition,2025-03-19 14:12:37
610 ÷ 61,0.69,division,2025-03-19 14:12:37
99 - 54,1.99,subtraction,2025-03-19 14:12:37
51 + 51,1.45,addition,2025-03-19 14:12:37
89 - 13,1.78,subtraction,2025-03-19 14:12:37
7 × 13,1.7,multiplication,2025-03-19 14:12:37
55 + 50,3.46,addition,2025-03-19 14:13:12
7 × 13,1.35,multiplication,2025-03-19 14:13:12
74 - 14,1.46,subtraction,2025-03-19 14:13:12
10 × 75,1.22,multiplication,2025-03-19 14:13:12
27 + 60,1.66,addition,2025-03-19 14:13:12
47 - 9,2.24,subtraction,2025-03-19 14:13:12
234 ÷ 78,1.89,division,2025-03-19 14:13:12
10 × 35,1.37,multiplication,2025-03-19 14:13:12
12 × 26,6.06,multiplication,2025-03-19 14:13:12
2 + 21,3.72,addition,2025-03-19 14:13:12
68 ÷ 34,1.26,division,2025-03-19 14:13:12
18 ÷ 3,1.61,division,2025-03-19 14:13:49
7 × 24,5.78,multiplication,2025-03-19 14:13:49
375 ÷ 75,1.43,division,2025-03-19 14:13:49
63 + 27,3.02,addition,2025-03-19 14:13:49
58 + 38,2.15,addition,2025-03-19 14:13:49
6 × 6,1.22,multiplication,2025-03-19 14:13:49
58 + 56,1.45,addition,2025-03-19 14:13:49
34 + 79,4.54,addition,2025-03-19 14:13:49
980 ÷ 98,0.99,division,2025-03-19 14:13:49
64 - 37,3.64,subtraction,2025-03-19 14:13:49
340 ÷ 85,2.92,division,2025-03-19 14:13:49
8 × 15,2.32,multiplication,2025-03-19 18:52:45
44 + 16,1.24,addition,2025-03-19 18:52:45
900 ÷ 90,0.68,division,2025-03-19 18:52:45
84 + 75,1.99,addition,2025-03-19 18:52:45
5 × 42,3.59,multiplication,2025-03-19 18:52:45
8 × 63,5.88,multiplication,2025-03-19 18:52:45
93 + 23,2.14,addition,2025-03-19 18:52:45
3 × 44,2.86,multiplication,2025-03-19 18:52:45
140 ÷ 70,0.97,division,2025-03-19 18:52:45
52 - 26,1.48,subtraction,2025-03-19 18:52:45
18 + 9,1.8,addition,2025-03-19 18:52:45
36 ÷ 6,1.98,division,2025-03-19 18:52:45
148 ÷ 74,0.76,division,2025-03-19 18:52:45
75 + 86,1.8,addition,2025-03-19 18:52:45
5 × 24,2.56,multiplication,2025-03-20 11:06:25
94 - 66,2.54,subtraction,2025-03-20 11:06:25
500 ÷ 100,1.46,division,2025-03-20 11:06:25
71 + 46,1.64,addition,2025-03-20 11:06:25
87 + 46,4.72,addition,2025-03-20 11:06:25
75 - 10,1.17,subtraction,2025-03-20 11:06:25
550 ÷ 50,1.58,division,2025-03-20 11:06:25
49 - 27,5.06,subtraction,2025-03-20 11:06:25
37 + 80,1.38,addition,2025-03-20 11:06:25
522 ÷ 87,1.85,division,2025-03-20 11:06:25
70 - 52,2.13,subtraction,2025-03-20 11:06:25
57 - 16,1.72,subtraction,2025-03-20 11:06:25
40 - 21,1.09,subtraction,2025-03-20 11:06:25
840 ÷ 84,0.82,division,2025-03-20 14:13:48
99 - 85,1.63,subtraction,2025-03-20 14:13:48
48 ÷ 4,1.8,division,2025-03-20 14:13:48
11 - 5,0.99,subtraction,2025-03-20 14:13:48
70 - 21,1.42,subtraction,2025-03-20 14:13:48
5 × 81,2.12,multiplication,2025-03-20 14:13:48
384 ÷ 64,3.06,division,2025-03-20 14:13:48
10 × 95,1.32,multiplication,2025-03-20 14:13:48
132 ÷ 22,1.56,division,2025-03-20 14:13:48
3 × 62,5.78,multiplication,2025-03-20 14:13:48
7 × 25,8.61,multiplication,2025-03-20 14:13:48
60 + 42,1.6,addition,2025-03-20 14:14:22
100 + 93,1.57,addition,2025-03-20 14:14:22
71 - 19,4.06,subtraction,2025-03-20 14:14:22
9 × 70,1.57,multiplication,2025-03-20 14:14:22
8 × 41,4.44,multiplication,2025-03-20 14:14:22
98 - 79,3.23,subtraction,2025-03-20 14:14:22
3 + 27,1.11,addition,2025-03-20 14:14:22
61 + 21,1.66,addition,2025-03-20 14:14:22
68 - 61,1.14,subtraction,2025-03-20 14:14:22
10 × 66,1.28,multiplication,2025-03-20 14:14:58
57 - 36,1.55,subtraction,2025-03-20 14:14:58
261 ÷ 29,2.17,division,2025-03-20 14:14:58
10 + 68,1.6,addition,2025-03-20 14:14:58
74 + 37,2.46,addition,2025-03-20 14:14:58
432 ÷ 54,1.48,division,2025-03-20 14:14:58
108 ÷ 12,1.62,division,2025-03-20 14:14:58
97 + 77,2.88,addition,2025-03-20 14:14:58
49 + 49,1.88,addition,2025-03-20 14:14:58
2 + 67,1.23,addition,2025-03-20 14:14:58
5 × 9,1.29,multiplication,2025-03-20 14:14:58
2 × 27,1.72,multiplication,2025-03-20 14:14:58
44 + 62,2.05,addition,2025-03-20 14:14:58
97 - 90,0.9,subtraction,2025-03-20 14:14:58
33 + 11,1.21,addition,2025-03-20 14:14:58
90 - 61,2.03,subtraction,2025-03-20 14:14:58
272 ÷ 34,1.56,division,2025-03-20 14:14:58
41 - 34,1.66,subtraction,2025-03-20 14:21:28
12 × 3,1.18,multiplication,2025-03-20 14:21:28
91 + 80,1.68,addition,2025-03-20 14:21:28
9 × 8,1.57,multiplication,2025-03-20 14:21:28
8 + 35,1.77,addition,2025-03-20 14:21:28
82 - 23,2.23,subtraction,2025-03-20 14:21:28
6 × 62,6.49,multiplication,2025-03-20 14:21:28
760 ÷ 76,0.88,division,2025-03-20 14:21:28
378 ÷ 63,1.69,division,2025-03-20 14:21:28
9 × 33,4.53,multiplication,2025-03-20 14:21:28
465 ÷ 93,1.6,division,2025-03-20 14:21:28
55 - 37,1.29,subtraction,2025-03-20 14:21:28
66 ÷ 6,1.06,division,2025-03-20 14:21:28
89 - 64,1.69,subtraction,2025-03-20 14:22:03
37 + 47,3.67,addition,2025-03-20 14:22:03
92 - 49,5.47,subtraction,2025-03-20 14:22:03
64 - 57,2.74,subtraction,2025-03-20 14:22:03
32 + 71,2.48,addition,2025-03-20 14:22:03
72 + 83,1.8,addition,2025-03-20 14:22:03
28 + 6,1.77,addition,2025-03-20 14:22:03
620 ÷ 62,0.7,division,2025-03-20 14:22:03
4 × 36,3.4,multiplication,2025-03-20 14:22:03
12 × 19,3.28,multiplication,2025-03-20 14:22:03
80 ÷ 10,2.03,division,2025-03-20 14:22:43
35 - 30,1.01,subtraction,2025-03-20 14:22:43
1200 ÷ 100,1.1,division,2025-03-20 14:22:43
43 + 71,2.23,addition,2025-03-20 14:22:43
57 ÷ 19,1.7,division,2025-03-20 14:22:43
17 - 7,0.91,subtraction,2025-03-20 14:22:43
74 - 42,2.96,subtraction,2025-03-20 14:22:43
83 - 78,1.12,subtraction,2025-03-20 14:22:43
335 ÷ 67,1.17,division,2025-03-20 14:22:43
98 - 38,1.66,subtraction,2025-03-20 14:22:43
117 ÷ 13,3.88,division,2025-03-20 14:22:43
97 - 19,3.83,subtraction,2025-03-20 14:22:43
424 ÷ 53,1.31,division,2025-03-20 14:22:43
3 × 65,2.91,multiplication,2025-03-20 14:22:43
99 - 3,1.43,subtraction,2025-03-20 14:22:43
46 - 35,1.27,subtraction,2025-03-21 14:42:01
95 + 61,2.28,addition,2025-03-21 14:42:01
4 × 13,2.34,multiplication,2025-03-21 14:42:01
41 - 26,1.3,subtraction,2025-03-21 14:42:01
96 - 23,2.51,subtraction,2025-03-21 14:42:01
68 - 4,1.02,subtraction,2025-03-21 14:42:01
65 - 31,1.41,subtraction,2025-03-21 14:42:01
6 × 46,3.42,multiplication,2025-03-21 14:42:01
44 - 24,1.4,subtraction,2025-03-21 14:42:01
5 × 36,2.57,multiplication,2025-03-21 14:42:01
80 ÷ 40,0.73,division,2025-03-21 14:42:01
62 + 66,1.61,addition,2025-03-21 14:42:01
11 × 27,1.92,multiplication,2025-03-21 14:42:01
39 - 26,1.66,subtraction,2025-03-21 14:42:01
435 ÷ 87,14.77,division,2025-03-21 14:43:13
78 - 75,4.34,subtraction,2025-03-21 14:43:13
56 + 11,4.91,addition,2025-03-21 14:43:13
355 ÷ 71,1.42,division,2025-03-22 11:12:00
44 + 49,2.14,addition,2025-03-22 11:12:00
10 × 82,1.98,multiplication,2025-03-22 11:12:00
448 ÷ 56,1.07,division,2025-03-22 11:12:00
460 ÷ 92,7.43,division,2025-03-22 11:12:00
92 - 57,2.91,subtraction,2025-03-22 11:12:00
11 + 14,1.43,addition,2025-03-22 11:12:00
35 - 13,1.68,subtraction,2025-03-22 11:12:00
77 - 22,1.11,subtraction,2025-03-22 11:12:00
6 × 71,2.64,multiplication,2025-03-23 14:59:24
256 ÷ 32,5.04,division,2025-03-23 14:59:24
80 + 43,2.51,addition,2025-03-23 14:59:24
114 ÷ 38,2.97,division,2025-03-23 14:59:24
97 + 80,1.46,addition,2025-03-23 14:59:24
360 ÷ 72,1.49,division,2025-03-23 14:59:24
70 - 61,2.43,subtraction,2025-03-23 14:59:24
44 + 10,1.23,addition,2025-03-23 14:59:24
59 - 47,1.16,subtraction,2025-03-23 14:59:24
76 - 27,3.53,subtraction,2025-03-23 14:59:24
35 + 41,2.08,addition,2025-03-24 09:35:45
37 + 90,1.53,addition,2025-03-24 09:35:45
20 + 21,1.19,addition,2025-03-24 09:35:45
4 × 92,5.3,multiplication,2025-03-24 09:35:45
83 - 62,1.99,subtraction,2025-03-24 09:35:45
35 + 77,1.68,addition,2025-03-24 09:35:45
200 ÷ 50,1.78,division,2025-03-24 09:35:45
17 + 97,2.39,addition,2025-03-24 09:35:45
90 ÷ 9,0.96,division,2025-03-24 09:35:45
7 × 70,4.11,multiplication,2025-03-24 09:35:45
160 ÷ 80,0.85,division,2025-03-24 09:35:45
96 - 34,1.87,subtraction,2025-03-24 09:35:45
33 + 55,1.35,addition,2025-03-24 09:35:45
13 + 30,1.93,addition,2025-03-24 09:35:45
22 - 2,1.63,subtraction,2025-03-24 09:36:45
7 × 94,3.14,multiplication,2025-03-24 09:36:45
60 - 3,1.15,subtraction,2025-03-24 09:36:45
76 + 59,6.32,addition,2025-03-24 09:36:45
80 - 4,1.47,subtraction,2025-03-24 09:36:45
8 × 72,4.43,multiplication,2025-03-24 09:36:45
3 × 83,2.52,multiplication,2025-03-24 09:36:45
35 + 69,2.2,addition,2025-03-24 09:36:45
85 + 77,2.86,addition,2025-03-24 09:36:45
75 + 16,2.69,addition,2025-03-24 09:36:45
7 + 99,1.27,addition,2025-03-25 08:50:49
58 - 23,2.88,subtraction,2025-03-25 08:50:49
10 × 44,1.22,multiplication,2025-03-25 08:50:49
27 + 48,2.12,addition,2025-03-25 08:50:49
60 ÷ 12,1.92,division,2025-03-25 08:50:49
69 - 50,1.22,subtraction,2025-03-25 08:50:49
62 - 52,1.07,subtraction,2025-03-25 08:50:49
9 × 93,3.96,multiplication,2025-03-25 08:50:49
56 + 93,2.01,addition,2025-03-25 08:50:49
329 ÷ 47,3.93,division,2025-03-25 08:50:49
83 + 49,2.51,addition,2025-03-25 08:50:49
24 ÷ 12,1.13,division,2025-03-25 08:50:49
32 + 59,1.82,addition,2025-03-25 08:50:49
8 + 35,1.25,addition,2025-03-25 08:50:49
700 ÷ 70,0.8,division,2025-03-25 08:50:49
25 - 21,0.94,subtraction,2025-03-25 08:50:49
7 × 2,1.11,multiplication,2025-03-25 21:49:51
9 × 63,3.54,multiplication,2025-03-25 21:49:51
11 - 4,1.1,subtraction,2025-03-25 21:49:51
86 + 8,5.11,addition,2025-03-25 21:49:51
95 ÷ 19,2.22,division,2025-03-25 21:49:51
72 - 28,3.78,subtraction,2025-03-25 21:49:51
1056 ÷ 96,2.1,division,2025-03-25 21:49:51
62 + 34,1.66,addition,2025-03-25 21:49:51
968 ÷ 88,2.33,division,2025-03-25 21:49:51
80 - 52,1.55,subtraction,2025-03-25 21:49:51
53 + 43,1.82,addition,2025-03-25 21:49:51
4 + 16,1.16,addition,2025-03-25 21:49:51
64 - 53,1.29,subtraction,2025-03-25 21:49:51
10 × 25,1.23,multiplication,2025-03-25 21:50:44
18 + 96,5.77,addition,2025-03-25 21:50:44
48 - 34,1.86,subtraction,2025-03-25 21:50:44
99 + 4,1.83,addition,2025-03-25 21:50:44
99 - 56,2.96,subtraction,2025-03-25 21:50:44
22 + 25,2.25,addition,2025-03-25 21:50:44
300 ÷ 30,0.74,division,2025-03-25 21:50:44
810 ÷ 81,0.79,division,2025-03-25 21:50:44
240 ÷ 30,2.51,division,2025-03-25 21:50:44
88 - 33,1.26,subtraction,2025-03-25 21:50:44
45 - 3,1.5,subtraction,2025-03-25 21:50:44
444 ÷ 37,2.56,division,2025-03-25 21:50:44
6 × 20,1.28,multiplication,2025-03-25 21:50:44
3 × 63,1.7,multiplication,2025-03-25 21:50:44
8 × 9,1.79,multiplication,2025-03-25 21:50:44
172 ÷ 86,1.02,division,2025-03-31 10:15:36
234 ÷ 39,4.59,division,2025-03-31 10:15:36
29 + 94,3.24,addition,2025-03-31 10:15:36
75 - 74,0.91,subtraction,2025-03-31 10:15:36
50 - 39,1.28,subtraction,2025-03-31 10:15:36
30 ÷ 10,1.12,division,2025-03-31 10:15:36
3 × 62,1.93,multiplication,2025-03-31 10:15:36
26 ÷ 13,0.84,division,2025-03-31 10:15:36
49 + 94,5.08,addition,2025-03-31 10:15:36
1008 ÷ 84,3.71,division,2025-03-31 10:15:36
276 ÷ 46,2.08,division,2025-03-31 10:15:36
87 - 59,2.49,subtraction,2025-03-31 10:15:36
43 + 8,1.65,addition,2025-03-31 10:15:36
70 + 66,1.58,addition,2025-04-18 16:40:22
212 ÷ 53,1.28,division,2025-04-18 16:40:22
7 × 100,1.5,multiplication,2025-04-18 16:40:22
7 × 41,1.89,multiplication,2025-04-18 16:40:22
9 × 67,5.48,multiplication,2025-04-18 16:40:22
96 + 12,1.74,addition,2025-04-18 16:40:22
75 + 33,4.59,addition,2025-04-18 16:40:22
